,threads,throughput,throughput_stddev
6,1.0,8272.55783333,90.5286256646
0,2.0,16589.7894915,277.689391919
9,4.0,27322.0743333,1076.90640997
2,8.0,27313.8616949,867.970086256
4,16.0,27368.63,1114.94524661
7,32.0,27352.1261667,1013.2367118
10,64.0,27308.6731667,1066.2368057
3,128.0,27309.2926667,906.670493305
8,512.0,27378.5465,1046.98061607
5,1024.0,27346.7111667,1010.17893612
1,2048.0,27411.8171667,1147.08779945
